"","Annee","Total.landings.kg","Total.landings.tons"
"1",1985,11399673.516256,11399.673516256
"2",1986,9608717.656792,9608.717656792
"3",1987,10425678.401832,10425.678401832
"4",1988,8693738.259016,8693.738259016
"5",1989,6753352.636016,6753.352636016
"6",1990,5538111.659336,5538.111659336
"7",1991,6603349.4916,6603.3494916
"8",1992,6324259.237416,6324.259237416
"9",1993,2706234.367736,2706.234367736
"10",1994,2657123.79496,2657.12379496
"11",1995,2507066.13508,2507.06613508
"12",1996,1623774.902464,1623.774902464
"13",1997,2021043.961056,2021.043961056
"14",1998,1547002.835048,1547.002835048
"15",1999,1935518.934,1935.518934
"16",2000,1716233.644688,1716.233644688
"17",2001,1354847.781072,1354.847781072
"18",2002,795548.892976,795.548892976
"19",2003,530949.589344,530.949589344
"20",2004,475769.586488,475.769586488
"21",2005,457813.229384,457.813229384
"22",2006,544230.617384,544.230617384
"23",2007,482361.544824,482.361544824
"24",2008,258486.241696,258.486241696
"25",2009,255116.77448,255.11677448
"26",2010,246478.412624,246.478412624
"27",2011,193107.317384,193.107317384
"28",2012,148648.37196,148.64837196
"29",2013,86404.055152,86.404055152
"30",2014,63298.080328,63.298080328
"31",2015,73120.831,73.120831
"32",2016,59393.089312,59.393089312
"33",2017,97397.816192,97.397816192
"34",2018,93633.980416,93.633980416
"35",2019,120728.32108,120.72832108
